../Exp/OASaltDep.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
                   APR-OPC.txt    1.38    1.92    0.89    0.79    1.25    0.00    0.90    0.58  
                 APR-TIP3P.txt    1.42    2.10    0.97    0.94    0.84    0.00    0.60    0.73  
                     BEDAM.txt    0.55   -2.29    0.19    0.04    4.37    0.00    3.64    0.09  
           CCSD(T)-neutral.txt    3.11   10.65    0.60    0.36    7.30    0.00    6.09    0.33  
               DFT-charged.txt    2.24    6.24    0.58    0.34    5.27    0.00    4.61    0.52  
               DFT-neutral.txt    2.53    7.74    0.62    0.39    5.53    0.00    4.63    0.30  
              Metadynamics.txt    1.00    0.01    0.85    0.72    0.97    0.00    0.88    0.48  
               MMPBSA-GAFF.txt    0.31   -3.49    0.17    0.03    3.03    0.00    2.26    0.06  
                  MovTyp-1.txt    0.33   -3.38    0.25    0.06    2.24    0.00    1.44    0.00  
                  MovTyp-2.txt    0.42   -2.95    0.25    0.06    2.65    0.00    1.94    0.09  
              PERT-bound-c.txt    0.52   -2.42    0.37    0.14    2.18    0.00    1.52    0.30  
                PERT-bound.txt    0.54   -2.31    0.37    0.13    2.26    0.00    1.62    0.36  
              PERT-hrex-c1.txt    0.13   -4.38    0.10    0.01    2.42    0.00    1.75    0.18  
              PERT-hrex-c2.txt    0.28   -3.65    0.33    0.11    1.68    0.00    1.31    0.30  
               PERT-hrex-c.txt    0.13   -4.38    0.11    0.01    2.29    0.00    1.68    0.18  
                 PERT-hrex.txt    0.09   -4.57    0.07    0.01    2.43    0.00    1.78    0.18  
                    SOMD-1.txt    1.23    1.14    0.94    0.88    0.78    0.00    0.68    0.45  
                    SOMD-2.txt    1.25    1.25    0.94    0.89    0.80    0.00    0.68    0.52  
                    SOMD-3.txt    1.23    1.14    0.93    0.86    0.85    0.00    0.74    0.45  
                    SOMD-4.txt    1.94    4.73    0.30    0.09    9.77   -0.00    9.14    0.30  
                      Null.txt    0.12   -4.43    0.35    0.12    1.46    0.00    1.08    0.21  
                     Null2.txt    0.18   -4.13    0.13    0.02    2.48    0.00    2.02   -0.25  
