../Exp/OAAllAvg.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
                   APR-OPC.txt    1.33   -0.12    0.87    0.75    2.18   -1.75    2.05    0.52  
                 APR-TIP3P.txt    1.43    0.71    0.98    0.96    1.66   -1.45    1.52    0.82  
                     BEDAM.txt    0.05   -8.84    0.02    0.00    6.21   -4.06    5.08   -0.06  
           CCSD(T)-neutral.txt    3.01    7.77    0.58    0.34    7.67   -2.30    6.74    0.26  
               DFT-charged.txt    3.04   13.24    0.60    0.35    7.77    3.03    6.43    0.14  
               DFT-neutral.txt    2.27    5.84    0.56    0.31    5.65   -0.54    4.80    0.26  
              Metadynamics.txt    1.18    3.72    0.85    0.73    3.05    2.82    2.82    0.45  
               MMPBSA-GAFF.txt    0.20   -2.12    0.11    0.01    3.64    1.90    3.13   -0.09  
                  MovTyp-1.txt    0.13   -6.31    0.10    0.01    3.09   -1.94    2.05   -0.24  
                  MovTyp-2.txt    0.16   -5.66    0.10    0.01    3.20   -1.48    2.29   -0.09  
              PERT-bound-c.txt    0.22   -4.24    0.15    0.02    2.63   -0.31    1.84    0.24  
                PERT-bound.txt    0.30   -4.29    0.20    0.04    2.69   -0.79    1.91    0.36  
              PERT-hrex-c1.txt   -0.25   -6.03   -0.17    0.03    3.03    0.25    2.19    0.21  
              PERT-hrex-c2.txt    0.02   -4.21    0.02    0.00    2.20    0.71    1.69    0.24  
               PERT-hrex-c.txt   -0.25   -6.34   -0.18    0.03    2.96   -0.06    2.06    0.27  
                 PERT-hrex.txt   -0.24   -6.45   -0.17    0.03    2.97   -0.22    2.10    0.26  
                    SOMD-1.txt    1.23   -2.40    0.93    0.87    3.66   -3.56    3.56    0.48  
                    SOMD-2.txt    1.25   -2.29    0.93    0.87    3.66   -3.56    3.56    0.52  
                    SOMD-3.txt    1.24   -0.76    0.91    0.84    2.16   -1.95    1.95    0.42  
                    SOMD-4.txt    2.43    4.90    0.38    0.14    9.94   -2.29    9.80    0.42  
                      Null.txt    0.00    0.00    0.00    0.00    5.25    5.01    5.01     nan  
                     Null2.txt    0.02   -7.29    0.01    0.00    3.51   -2.37    2.85   -0.43  
