../Exp/OASaltDep.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
                   APR-OPC.txt    1.36    0.09    0.88    0.78    2.13   -1.72    2.01    0.61  
                 APR-TIP3P.txt    1.43    0.73    0.97    0.95    1.65   -1.42    1.48    0.73  
                     BEDAM.txt    0.21   -7.99    0.08    0.01    6.12   -4.02    5.01    0.03  
           CCSD(T)-neutral.txt    3.07    8.20    0.59    0.35    7.65   -2.27    6.71    0.35  
               DFT-charged.txt    3.29   14.65    0.64    0.41    7.71    3.06    6.36    0.35  
               DFT-neutral.txt    2.33    6.22    0.57    0.33    5.63   -0.50    4.73    0.35  
              Metadynamics.txt    1.16    3.68    0.84    0.70    3.10    2.85    2.85    0.42  
               MMPBSA-GAFF.txt    0.30   -1.62    0.16    0.03    3.59    1.94    3.05    0.06  
                  MovTyp-1.txt    0.16   -6.14    0.13    0.02    3.04   -1.91    1.98   -0.03  
                  MovTyp-2.txt    0.23   -5.35    0.14    0.02    3.13   -1.44    2.15    0.12  
              PERT-bound-c.txt    0.19   -4.37    0.13    0.02    2.65   -0.28    1.86    0.21  
                PERT-bound.txt    0.25   -4.56    0.16    0.03    2.73   -0.76    1.97    0.21  
              PERT-hrex-c1.txt   -0.28   -6.18   -0.19    0.04    3.05    0.28    2.21    0.06  
              PERT-hrex-c2.txt   -0.01   -4.36   -0.01    0.00    2.24    0.74    1.70    0.09  
               PERT-hrex-c.txt   -0.30   -6.60   -0.21    0.04    3.00   -0.02    2.11    0.12  
                 PERT-hrex.txt   -0.30   -6.77   -0.21    0.04    3.02   -0.18    2.17    0.11  
                    SOMD-1.txt    1.25   -2.24    0.94    0.89    3.61   -3.52    3.52    0.45  
                    SOMD-2.txt    1.27   -2.15    0.95    0.89    3.62   -3.53    3.53    0.48  
                    SOMD-3.txt    1.26   -0.58    0.93    0.87    2.10   -1.91    1.91    0.39  
                    SOMD-4.txt    2.01    2.86    0.31    0.10   10.04   -2.25    9.89    0.27  
                      Null.txt    0.00    0.00    0.00    0.00    5.28    5.05    5.05     nan  
                     Null2.txt    0.06   -7.09    0.04    0.00    3.45   -2.34    2.77   -0.26  
