../Exp/OASaltDep.txt
                    Submission   Slope  Interc       R     R^2    RMSE     MSE     MUE     TAU  
                   APR-OPC.txt    1.10    0.58    0.95    0.90    0.65    0.00    0.60    0.60  
                 APR-TIP3P.txt    1.41    2.29    0.99    0.97    0.81    0.00    0.60    0.60  
                     BEDAM.txt   -0.46   -8.18   -0.19    0.04    4.83    0.00    4.01   -0.07  
           CCSD(T)-neutral.txt    3.26   12.65    0.70    0.49    6.99    0.00    5.97    0.33  
               DFT-charged.txt    1.66    3.70    0.46    0.21    5.70    0.00    4.94    0.47  
               DFT-neutral.txt    2.24    6.95    0.71    0.51    4.38    0.00    3.69    0.33  
              Metadynamics.txt    1.17    0.92    0.96    0.92    0.67    0.00    0.58    0.60  
               MMPBSA-GAFF.txt    1.03    0.18    0.69    0.48    1.85    0.00    1.57    0.47  
                  MovTyp-1.txt    0.99   -0.05    0.92    0.84    0.75    0.00    0.61    0.47  
                  MovTyp-2.txt    1.21    1.15    0.87    0.76    1.22    0.00    1.11    0.87  
              PERT-bound-c.txt    1.00   -0.02    0.90    0.81    0.85    0.00    0.73    0.73  
                PERT-bound.txt    0.95   -0.26    0.71    0.50    1.65    0.00    1.24    0.60  
              PERT-hrex-c1.txt    0.49   -2.87    0.73    0.53    1.19    0.00    0.98    0.60  
              PERT-hrex-c2.txt    0.29   -4.00    0.51    0.26    1.49    0.00    1.24    0.47  
               PERT-hrex-c.txt    0.41   -3.31    0.66    0.43    1.30    0.00    1.11    0.60  
                 PERT-hrex.txt    0.35   -3.65    0.41    0.17    1.75    0.00    1.31    0.47  
                    SOMD-1.txt    1.32    1.79    0.96    0.93    0.85    0.00    0.74    0.47  
                    SOMD-2.txt    1.36    1.99    0.96    0.93    0.90    0.00    0.75    0.47  
                    SOMD-3.txt    1.32    1.77    0.94    0.88    0.99    0.00    0.86    0.33  
                    SOMD-4.txt    3.58   14.46    0.59    0.35    9.55   -0.00    8.89    0.47  
            PERT-combo-OAH.txt    0.58   -2.36    0.80    0.65    1.04    0.00    0.91    0.87  
                      Null.txt    0.00   -5.59    0.00    0.00    1.73    0.00    1.26     nan  
                     Null2.txt    0.75   -1.37    0.63    0.39    1.67   -0.00    1.46    0.41  
